A001ABANO TERME                                       PD35031D3AB
E116GOTTOLENGO                                        BS25023C3FE
E118GOVONE                                            CN12040A4EG
E120GOZZANO                                           NO28024A5FT
E122GRADARA                                           PS61012K4BB
E124GRADISCA D'ISONZO                                 GO34072F3BZ
E125GRADO                                             GO34073F3CA
E126GRADOLI                                           VT01010M5BG
E128GRAFFIGNANO                                       VT01020M5BH
E131GRAGNANO                                          NA80054Q1BM
E132GRAGNANO TREBBIENSE                               PC29010H6BA
E133GRAMMICHELE                                       CT95042U4AV
E134GRANA                                             AT14030A3CG
E135GRANAGLIONE                                       BO40030H1BI
E136GRANAROLO DELL'EMILIA                             BO40057H1BJ
E138GRANCONA                                          VI36040D7BZ
E139GRANDATE                                          CO22070C4IG
E141GRANDOLA ED UNITI                                 CO22010C4II
E142GRANITI                                           ME98036U6BL
E143GRANOZZO CON MONTICELLO                           NO28060A5FV
E144GRANTOLA                                          VA21030C9EQ
E145GRANTORTO                                         PD35010D3BS
E146GRANZE                                            PD35040D3BT
E147GRASSANO                                          MT75014S2AN
E148GRASSOBBIO                                        BG24050C2GG
E149GRATTERI                                          PA90010U1BR
E150GRAUNO                                            TN38030E1GH
E151GRAVEDONA                                         CO22015C4IJ
E152GRAVELLONA LOMELLINA                              PV27020C7EN
E154GRAVERE                                           TO10050A1FW
E156GRAVINA DI CATANIA                                CT95030U4AW
E155GRAVINA IN PUGLIA                                 BA70024R1BA
E158GRAZZANISE                                        CE81046Q4CD
E159GRAZZANO BADOGLIO                                 AT14035A3CH
E160GRECCIO                                           RI02040M4BI
E161GRECI                                             AV83030Q2BN
E163GREGGIO                                           VC13030A6DH
E164GREMIASCO                                         AL15050A2EM
E165GRESSAN                                           AO11020B1BL
E167GRESSONEY-LA-TRINITE'                             AO00000B1BN
E168GRESSONEY-SAINT-JEAN                              AO00000B1BP
E169GREVE IN CHIANTI                                  FI50022I1AY
E170GREZZAGO                                          MI20056C1IS
